"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"151","win","loss",-0.336866666666667,"loss",2,3.45,3.8
"152","win","win",-0.241766666666667,"win",2.25,3.35,3.25
"153","win","draw",1.3553,"draw",2.05,3.45,3.7
"154","loss","loss",0.263833333333333,"win",2.15,3.55,3.3
"155","loss","loss",-0.928533333333333,"draw",8.25,5.5,1.33
"156","win","win",0.7473,"win",1.9,3.6,4.2
"157","loss","loss",-0.920633333333333,"win",2.55,3.55,2.65
"158","loss","loss",-0.0281333333333334,"win",3.25,3.45,2.2
"160","win","draw",0.8879,"win",2.1,3.45,3.5
"161","loss","win",-0.394166666666667,"loss",2.75,3.35,2.6
"162","loss","loss",-1.3892,"loss",8.5,5.5,1.33
"163","win","win",2.02356666666667,"draw",1.5,4.4,6.75
"164","win","win",0.990966666666667,"win",1.5,4.7,6
"165","loss","loss",-0.561733333333333,"loss",4.2,3.85,1.8
"166","loss","loss",-0.1672,"win",2.9,3.3,2.5
"167","win","draw",0.532566666666667,"win",2.1,3.7,3.3
"168","win","win",0.0468,"draw",1.35,5.25,8.25
"169","loss","loss",-0.586,"loss",3,3.4,2.35
"170","loss","win",-0.669533333333333,"draw",3.25,3.4,2.2
"171","win","win",0.9023,"win",1.95,3.45,4
"172","win","win",1.06606666666667,"win",1.35,5.75,7.75
"173","loss","win",0.3015,"draw",2.35,3.45,2.95
"174","win","win",0.947333333333333,"win",1.75,4,4.3
