"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"220","loss","loss",-1.0263,"loss",4.6,3.55,1.8
"298","loss","loss",-0.402533333333333,"win",4.1,3.45,1.95
"299","loss","loss",-0.264233333333333,"loss",3.3,3.15,2.3
"300","win","loss",2.67396666666667,"win",1.53,4.4,6
"301","win","win",1.354,"win",1.2,7,13
"302","loss","draw",-0.7763,"draw",2.85,3.45,2.45
"303","win","draw",1.31123333333333,"win",1.33,5.25,10
"304","loss","loss",-0.8888,"loss",4.2,4.1,1.77
"305","win","win",0.934933333333333,"win",1.73,3.7,4.9
"306","win","win",0.487633333333333,"draw",2.95,3.55,2.3
"307","win","loss",0.1494,"loss",1.9,3.3,4.7
"308","win","win",2.63583333333333,"draw",1.17,7.75,16
"309","win","win",1.6573,"win",1.22,6.5,12
"310","loss","win",-0.363966666666667,"loss",2.15,3.35,3.45
"311","loss","loss",-0.851933333333334,"loss",3.7,3.5,2.05
"312","win","draw",0.9221,"win",2.35,3.3,3.05
"313","loss","win",0.246866666666667,"loss",4.3,3.9,1.77
"314","loss","win",-0.2522,"win",2.75,3.15,2.7
"315","win","win",0.166733333333333,"loss",4.9,3.8,1.7
"316","win","win",1.3446,"draw",1.6,4.1,5.75
"317","draw","draw",-0.474633333333333,"loss",3.05,3.6,2.25
"318","draw","draw",-0.1453,"draw",2.25,3.35,3.3
"319","win","win",1.2468,"win",1.63,3.95,5.5
"320","loss","loss",-0.970833333333333,"draw",6.25,4.5,1.5
"321","loss","draw",0.4217,"loss",2.65,3.2,2.8
"322","win","win",0.5355,"win",2.25,3.25,3.35
"323","loss","win",0.643833333333333,"draw",3,3.15,2.5
"324","win","win",1.23453333333333,"draw",1.5,4.4,6.5
"325","win","win",0.297433333333333,"win",1.7,3.9,4.9
"326","win","win",0.983933333333333,"draw",1.85,3.7,4.2
"327","win","win",1.675,"win",1.35,5,9.5
"328","win","loss",1.36886666666667,"win",1.75,3.95,4.4
"329","loss","loss",-0.735733333333333,"draw",3,3.15,2.5
"330","win","win",1.19196666666667,"win",2.1,3.5,3.45
"331","loss","loss",-0.262466666666667,"draw",3.05,3.35,2.35
"332","win","win",1.1063,"loss",1.8,3.65,4.4
"333","win","loss",0.3417,"draw",2.85,3.4,2.45
"334","loss","loss",-2.0033,"loss",7.75,5.25,1.37
"335","loss","loss",0.0905333333333333,"win",3.45,3.55,2.1
"336","win","draw",3.51223333333333,"win",1.12,9,21
"337","win","win",0.469166666666667,"win",2.4,3.5,2.9
"338","win","loss",0.944666666666666,"loss",2.25,3.25,3.35
"339","loss","loss",-0.564933333333333,"draw",3.6,3.3,2.1
"340","loss","loss",-0.5532,"loss",6,3.85,1.6
"341","loss","win",-0.5286,"loss",2.5,3.3,2.85
"342","loss","loss",-0.615466666666667,"loss",3.45,3.55,2.1
"343","win","win",1.36743333333333,"draw",1.65,3.85,5.5
"344","win","win",1.19113333333333,"win",1.9,3.65,4.1
"345","win","win",2.6249,"win",1.2,6.75,15
"346","win","win",1.39606666666667,"loss",1.65,3.85,5.25
"347","win","win",0.540733333333333,"draw",1.97,3.5,3.8
"348","loss","loss",-1.1195,"loss",7.25,4.6,1.43
"349","loss","loss",0.233933333333333,"win",2.4,3.45,2.95
"350","loss","loss",-0.3434,"loss",2.6,3.4,2.7
"351","loss","loss",-0.8031,"loss",3,3.65,2.25
