"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"1","loss","loss",-0.422366666666667,"win",3.8,3.4,2.05
"2","win","win",1.31636666666667,"win",1.55,4.4,5.75
"3","win","win",1.2401,"win",1.7,3.75,5.25
"4","loss","loss",-0.0415,"loss",3.15,3.05,2.45
"5","win","win",1.72753333333333,"win",1.25,6,13
"6","loss","draw",-0.766266666666667,"win",3.05,3.25,2.4
"7","win","win",0.4499,"win",1.95,3.45,3.95
"8","loss","loss",-1.8894,"loss",7.75,5.5,1.35
"9","loss","loss",-0.442233333333333,"loss",3.15,3.45,2.25
"10","loss","loss",-0.538066666666667,"win",5.25,4.1,1.63
"11","loss","loss",-0.4141,"loss",2.45,3.45,2.85
"12","loss","loss",-1.0717,"loss",7.75,4.9,1.4
"13","win","win",1.41363333333333,"draw",1.25,6.25,12
"14","loss","draw",-0.0213666666666667,"win",2.65,3.2,2.8
"15","loss","loss",-0.164866666666667,"loss",3.05,3.4,2.35
"16","win","win",2.21593333333333,"loss",1.15,8,17
"17","win","win",0.6436,"loss",2.85,3.55,2.4
"18","loss","draw",-0.5186,"loss",3.35,3.55,2.15
"19","win","win",-0.0380666666666667,"loss",2.8,3.45,2.45
"20","loss","win",0.247066666666667,"win",2.25,3.25,3.35
"21","loss","loss",-0.549033333333333,"win",2,3.6,3.7
"22","loss","loss",-0.767533333333334,"loss",4.5,4.2,1.7
"23","win","win",1.58673333333333,"loss",1.63,3.9,5.75
"24","win","win",1.6225,"draw",1.27,5.75,11
"25","win","loss",0.810733333333333,"win",2.5,3.15,3.05
"26","win","win",0.671833333333333,"draw",1.63,3.95,5.5
"27","loss","loss",-0.9843,"draw",3.05,3.25,2.4
"28","loss","loss",-0.403566666666667,"draw",2.75,3.55,2.5
"29","win","win",2.0785,"win",1.4,5.25,7.5
"30","loss","loss",-0.544133333333333,"win",4.6,4.1,1.7
"31","loss","loss",-0.519133333333333,"loss",4.6,3.7,1.77
"32","loss","win",-0.5137,"win",2.95,3.3,2.45
"33","loss","loss",-0.9383,"win",6,4.6,1.5
"34","loss","loss",-0.620333333333333,"win",3.6,3.4,2.1
"35","win","loss",0.7578,"win",2.4,3.3,3
"36","win","loss",1.06643333333333,"win",1.5,4.7,6
"37","win","win",2.34006666666667,"win",1.2,7,14
"38","win","win",1.19656666666667,"win",1.73,4,4.5
"108","win","win",4.1453,"win",1.22,6.5,13
"109","win","draw",0.682466666666666,"win",1.83,3.8,4.1
"110","win","win",3.51703333333333,"win",1.12,9.5,22
"111","win","loss",0.591533333333333,"draw",2.35,3.45,3
"112","win","win",0.481166666666667,"draw",2.6,3.15,2.9
"113","win","win",1.35703333333333,"win",1.75,3.5,5.25
"114","loss","loss",-0.6724,"loss",3.15,3.1,2.45
"115","loss","win",-0.823266666666667,"draw",5.25,4.2,1.6
"116","loss","draw",0.339033333333333,"loss",4.8,3.75,1.73
"117","win","loss",0.4622,"win",2.55,3.4,2.75
"213","win","win",1.60423333333333,"win",1.27,6,11
"214","loss","loss",-1.17396666666667,"loss",4.1,3.65,1.9
"215","win","draw",0.695366666666667,"draw",2,3.5,3.75
"216","win","loss",0.443633333333333,"loss",2.35,3.15,3.2
"217","win","win",1.0844,"draw",2.5,3.25,2.95
"218","win","loss",0.4226,"draw",3.05,3.45,2.3
"219","win","win",2.16943333333333,"win",1.47,4.5,7
