"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"1","loss","loss",-0.7001,"loss",4.9,4.5,1.6
"2","win","win",0.691566666666667,"draw",1.9,3.7,3.9
"3","loss","loss",-0.4523,"loss",3.2,3.4,2.25
"4","win","loss",0.407,"loss",3.15,3.4,2.25
"5","win","draw",-0.267566666666667,"win",2.05,4.1,3.1
"6","loss","loss",-0.621066666666667,"draw",4.4,3.65,1.83
"7","win","win",1.20636666666667,"win",1.8,3.85,4.3
"8","draw","loss",-0.116333333333333,"loss",3.5,3.6,2.05
"9","loss","loss",-0.0725666666666667,"draw",2.65,3.5,2.6
"10","win","draw",0.307966666666667,"win",2.7,3.5,2.55
"11","win","draw",0.7025,"loss",2.3,3.55,3
"12","win","win",1.49953333333333,"win",1.7,3.8,5
"13","win","win",1.68513333333333,"win",1.43,5,6.75
"14","win","draw",0.1118,"win",1.75,3.8,4.6
"15","draw","loss",0.0369333333333333,"win",3,3.4,2.4
"16","win","win",1.5515,"win",1.3,6,8.75
"17","loss","loss",-0.4088,"win",2.25,3.1,3.6
"18","win","win",-0.3936,"draw",1.73,4.1,4.4
"19","loss","loss",-0.584166666666667,"loss",5.25,4.7,1.55
"20","win","win",0.776233333333334,"win",1.55,4.5,5.5
"21","win","win",0.358166666666667,"win",2,3.6,3.7
"22","loss","loss",-0.5361,"draw",5,4.2,1.63
"23","loss","loss",-0.415366666666667,"loss",2.3,3.65,2.9
"24","loss","loss",-0.145366666666667,"win",4.1,3.45,1.95
"25","win","win",1.2904,"win",1.75,3.9,4.5
"26","win","draw",1.14006666666667,"win",2.1,3.6,3.35
"27","win","win",1.35143333333333,"win",1.27,6.5,8.75
"28","win","win",1.40446666666667,"win",1.73,3.95,4.5
"29","win","draw",0.337033333333333,"win",1.8,4,4
"30","win","win",0.1888,"win",1.9,3.7,4
"31","loss","loss",0.00313333333333333,"loss",2.8,3.6,2.4
"32","loss","loss",0.0557333333333334,"win",2.15,3.35,3.5
"33","loss","loss",-0.850266666666667,"loss",3.85,3.7,1.9
"34","draw","loss",0.1972,"draw",2.85,3.55,2.4
