"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"35","win","win",0.8116,"win",2.25,3.6,3
"36","win","win",1.975,"win",1.25,6.5,11
"37","draw","loss",-0.319033333333333,"loss",2.05,3.6,3.5
"38","loss","loss",-0.3837,"loss",4.3,4.1,1.73
"39","loss","loss",-1.6803,"loss",9,6.25,1.3
"40","loss","draw",-0.520366666666667,"loss",2.95,3.55,2.3
"41","win","win",1.28983333333333,"win",1.67,4.2,4.8
"42","win","win",-0.268033333333333,"win",2.15,3.45,3.35
"43","win","draw",-0.115266666666667,"win",1.7,4,4.6
"44","draw","draw",0.0726,"win",3.05,3.55,2.25
"45","win","win",1.8747,"win",1.17,8.25,14
"46","win","loss",0.229266666666667,"loss",3.1,3.6,2.2
"47","win","draw",1.15573333333333,"draw",1.55,4.2,6
"48","loss","loss",0.302166666666667,"win",3.35,3.65,2.1
"49","win","win",1.36263333333333,"win",1.75,4,4.3
"50","win","draw",1.3117,"win",1.95,3.85,3.65
"51","win","loss",0.0887666666666666,"win",3.3,3.3,2.25
"52","win","win",1.2261,"loss",2.2,3.5,3.2
"53","loss","loss",-2.02006666666667,"loss",14,8,1.17
"54","win","loss",-0.263133333333333,"draw",2.75,3.5,2.5
"55","win","draw",-0.476733333333333,"win",2.05,3.3,3.85
"83","win","loss",-0.153133333333333,"loss",2.95,3.6,2.3
"84","win","win",1.3318,"win",1.6,4.4,5.25
"85","win","win",1.28736666666667,"loss",1.33,5.5,8
"86","loss","loss",-0.2363,"draw",3,3.45,2.35
"87","loss","loss",-0.7487,"draw",3.05,3.7,2.2
"88","loss","loss",-0.422,"draw",2.25,3.25,3.3
"89","win","win",2.00056666666667,"win",1.15,8.75,15
"90","win","win",1.06293333333333,"win",1.6,4.3,5.25
"91","draw","draw",0.817633333333333,"loss",1.67,4.4,4.4
"92","loss","draw",-0.0986333333333333,"loss",3.4,3.3,2.2
"93","loss","draw",-0.596166666666667,"loss",2.65,3.4,2.6
"94","win","win",0.618666666666666,"loss",1.4,5.5,6.75
"95","win","win",1.42196666666667,"draw",1.83,3.85,4
"96","draw","loss",0.193033333333333,"win",3.5,3.45,2.1
"97","win","win",1.04976666666667,"draw",2.05,3.7,3.45
"98","loss","loss",-1.90406666666667,"loss",12,7.75,1.2
"99","win","win",1.6159,"win",1.55,4.5,5.5
"100","win","win",0.330733333333333,"win",1.5,4.8,6
"101","draw","loss",-0.1178,"loss",2.75,3.65,2.45
"102","win","win",-0.326766666666667,"win",1.53,4.4,6
"103","loss","loss",-0.5415,"loss",3,3.4,2.35
"104","loss","loss",-0.697966666666667,"loss",4.3,4.2,1.73
"105","win","win",2.2605,"draw",1.25,6.75,10
"106","win","draw",0.2143,"draw",2.1,3.65,3.35
"107","loss","loss",-0.505533333333333,"loss",2.5,3.55,2.7
"108","win","win",0.505966666666667,"win",1.67,4.4,4.4
"109","win","loss",0.1425,"loss",2.9,3.55,2.35
"110","win","win",0.9143,"loss",1.9,3.85,3.75
"111","win","draw",1.14833333333333,"loss",2.1,3.5,3.45
"112","loss","loss",-0.0187,"win",3.4,3.55,2.1
"113","win","draw",0.191466666666667,"loss",2.5,3.3,2.85
"114","win","win",0.978866666666667,"loss",2.25,3.6,3
"115","win","draw",0.608533333333333,"loss",1.65,4.3,4.7
"116","win","draw",-0.503133333333333,"loss",2.1,3.55,3.4
"117","win","win",0.833566666666667,"win",2.3,3.6,2.95
"118","win","draw",0.107066666666667,"win",2.45,3.8,2.65
"119","loss","loss",-0.3361,"win",2.05,3.65,3.45
"120","loss","loss",-0.3356,"loss",2.5,3.35,2.85
"121","win","loss",-0.0617333333333333,"draw",2.1,3.5,3.45
"122","draw","draw",-0.318233333333333,"draw",1.8,3.8,4.3
"123","win","win",0.8219,"draw",1.7,4.2,4.4
"124","loss","loss",-0.333433333333333,"loss",2.3,3.55,2.95
"125","win","loss",-0.118366666666667,"win",2.75,3.7,2.4
"126","draw","draw",0.1849,"win",2,3.5,3.75
"127","win","loss",-0.236633333333333,"draw",3.35,3.65,2.1
"128","loss","loss",-0.618266666666666,"draw",2.2,3.7,3.1
"129","win","win",1.72703333333333,"win",1.4,5.25,6.75
"130","win","draw",0.769733333333333,"win",2.1,3.5,3.4
"131","win","win",-0.137366666666667,"win",2.3,3.35,3.2
"132","win","win",1.53213333333333,"win",1.25,6.5,11
"133","win","loss",-0.164,"win",2.6,3.7,2.55
"134","loss","loss",0.0964,"draw",2.75,3.65,2.4
"135","draw","loss",-0.179233333333333,"loss",2,3.65,3.65
"136","win","win",-0.1174,"loss",2.05,3.7,3.4
"137","win","loss",-0.0973666666666667,"win",3.8,3.8,1.9
"138","win","win",1.61236666666667,"win",1.45,4.9,6.25
"139","loss","loss",-0.902333333333333,"draw",4.2,4.3,1.73
"140","win","win",0.718566666666667,"win",2,3.8,3.5
"141","loss","loss",-0.619233333333333,"draw",3,3.4,2.35
"142","win","loss",-0.4843,"loss",2.6,3.15,2.85
