"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"65","win","win",0.00690000000000001,"loss",2.2,3.4,3.35
"66","win","win",-0.0102333333333333,"win",2.3,3.35,3.15
"67","draw","draw",1.2589,"win",1.95,3.5,3.95
"68","loss","loss",0.3773,"loss",2.1,3.5,3.45
"69","win","win",0.893366666666666,"draw",1.85,3.9,3.9
"70","draw","loss",0.1669,"draw",2.45,3.35,2.9
"71","win","win",2.2627,"win",1.1,9.5,23
"72","loss","loss",-0.900066666666666,"draw",5.75,4.4,1.55
"73","win","win",1.88246666666667,"win",1.25,6.5,11
"74","loss","loss",-0.409266666666667,"loss",2.9,3.35,2.45
"75","loss","loss",-0.491833333333333,"draw",2.85,3.45,2.45
"76","win","win",1.8042,"loss",1.25,6.25,12
"77","loss","loss",0.0839,"draw",2.1,3.65,3.3
"78","win","win",0.170466666666667,"win",2.3,3.55,2.95
"79","loss","loss",-0.972566666666667,"win",4.8,4.3,1.65
"80","win","loss",0.0318,"win",2.7,3.6,2.5
"81","win","draw",1.16343333333333,"win",1.97,3.85,3.55
"82","win","win",1.94663333333333,"loss",1.45,5.5,5.75
"83","win","win",1.10046666666667,"win",1.73,3.9,4.6
"84","win","win",1.10163333333333,"win",1.6,4.4,5.25
"85","loss","loss",-0.7818,"draw",3.6,3.6,2
"86","loss","loss",-0.470133333333333,"loss",3.45,3.75,2
"87","loss","loss",-0.599333333333333,"loss",2.65,3.45,2.6
"88","loss","loss",-0.165566666666667,"win",3.35,3.5,2.15
"89","win","win",1.03313333333333,"win",1.55,4.6,5.25
"90","loss","loss",-0.683166666666667,"loss",5.25,4.2,1.6
"91","win","loss",0.277866666666667,"win",2.75,3.5,2.45
"92","loss","loss",-0.842666666666666,"loss",6.5,5.5,1.4
"93","win","win",1.3417,"win",1.75,3.65,4.9
"94","win","win",0.8209,"draw",2,3.4,3.9
"95","loss","loss",-0.181966666666667,"loss",2.6,3.85,2.5
"96","draw","loss",-0.114766666666667,"draw",3.35,3.4,2.2
"97","win","win",0.827033333333333,"draw",1.95,3.6,3.95
"98","win","draw",1.4033,"win",1.5,4.8,5.75
"99","loss","loss",-0.426133333333333,"loss",3.05,3.45,2.3
"100","loss","loss",-0.0316333333333333,"win",2.65,3.5,2.55
"101","loss","draw",0.0195666666666667,"draw",2.55,3.35,2.75
"102","win","loss",-0.2421,"win",5.5,4.6,1.55
"103","win","win",0.858566666666666,"draw",1.6,4.4,5
"104","win","draw",0.502933333333333,"win",2.35,3.55,2.95
"105","win","win",-0.052,"draw",2,3.65,3.55
"106","win","win",2.3298,"win",1.15,8.75,17
"107","win","win",1.30706666666667,"loss",1.8,3.7,4.5
"108","win","win",1.34236666666667,"win",1.5,4.4,6.5
"109","win","win",0.563666666666667,"loss",2.35,3.35,3.05
"110","loss","loss",-0.604866666666667,"win",4.5,3.5,1.83
"111","loss","loss",-0.234966666666667,"loss",3,3.8,2.2
"112","win","draw",0.899333333333334,"win",1.95,3.5,3.85
"113","loss","loss",-0.536933333333333,"draw",3.05,3.4,2.35
"114","win","win",1.17343333333333,"win",1.53,4.4,6
"115","loss","loss",-1.88643333333333,"loss",11,6.75,1.25
"116","win","win",0.233366666666667,"draw",2.25,3.35,3.3
"117","win","draw",0.134966666666667,"loss",2.7,3.5,2.55
"118","loss","loss",-0.795833333333333,"draw",3.2,3.35,2.25
"119","loss","draw",-0.00970000000000002,"win",2.45,3.45,2.85
"120","win","win",1.089,"win",1.5,5.25,5.5
"121","win","loss",0.5446,"loss",1.9,4.2,3.5
"122","win","win",2.02386666666667,"win",1.6,4.1,5.5
"123","win","win",1.04236666666667,"win",1.47,4.7,6
"124","win","loss",0.765766666666667,"draw",2.15,3.4,3.4
"125","loss","loss",-0.265433333333333,"win",2.9,3.35,2.45
"126","win","win",1.11933333333333,"win",1.75,3.95,4.4
"127","draw","draw",0.337733333333333,"loss",2.25,3.45,3.2
"128","loss","loss",-1.7035,"win",8.75,7.25,1.25
"129","win","win",1.36803333333333,"win",1.43,5.25,6.5
"130","win","loss",-0.1214,"loss",3.8,3.9,1.9
"131","win","win",1.6891,"win",1.53,4.5,6
"132","loss","loss",-0.957033333333333,"win",3.15,3.55,2.2
"133","win","win",1.11376666666667,"draw",2.2,3.45,3.2
"134","loss","loss",-0.423666666666667,"win",3.05,3.2,2.45
"135","loss","loss",-0.0471333333333333,"win",2.3,3.65,2.9
"136","win","win",2.78353333333333,"win",1.1,9.5,25
"137","win","draw",0.728,"win",1.63,4.5,4.6
"138","loss","loss",-0.897866666666667,"loss",5.75,4.4,1.55
"139","win","win",0.8851,"win",1.55,4.4,5.5
"140","loss","loss",-0.718466666666667,"draw",3.45,3.7,2.05
"141","win","draw",0.608033333333333,"draw",2.1,3.5,3.5
"142","win","draw",0.627666666666667,"win",2.7,3.25,2.65
"143","loss","loss",-1.27796666666667,"loss",5.5,4.9,1.5
"144","loss","loss",-0.706266666666667,"loss",4.9,4.2,1.65
"145","loss","loss",-0.827966666666667,"draw",4.9,4.4,1.6
"146","loss","loss",0.138033333333333,"loss",2.55,3.15,2.9
"147","win","win",0.270866666666667,"win",2.25,3.3,3.35
"148","loss","loss",-0.367433333333333,"loss",3.2,3.5,2.2
"149","win","loss",1.3961,"win",1.77,3.7,4.6
"150","draw","loss",-0.4821,"win",3.15,3.55,2.25
"151","draw","loss",0.292033333333333,"loss",2.6,3.6,2.55
"152","loss","loss",-0.524333333333333,"loss",3.9,3.85,1.85
"153","win","loss",1.18256666666667,"win",2.2,3.4,3.35
"154","win","win",1.41773333333333,"win",1.57,4.5,5.25
"155","win","win",0.9519,"loss",1.67,4.1,4.7
"156","win","win",1.36976666666667,"win",1.27,6.25,10
"157","win","win",1.35843333333333,"win",1.9,3.7,4
"158","loss","loss",-1.19406666666667,"loss",8.25,5.5,1.35
"159","loss","loss",-0.4894,"win",3.25,3.35,2.25
"160","loss","loss",-0.958766666666667,"loss",2.95,3.4,2.4
"161","win","draw",0.3181,"win",2.1,3.45,3.5
"162","draw","loss",-0.661966666666667,"win",4.4,4,1.75
"163","win","win",1.32283333333333,"win",1.7,3.55,5.5
"164","loss","loss",-0.805433333333333,"draw",4.8,3.95,1.7
"165","win","win",2.32466666666667,"win",1.2,7.75,12
"166","win","win",0.989466666666667,"draw",1.43,4.9,6.75
"167","loss","loss",-0.4952,"loss",3.05,3.35,2.35
"168","loss","loss",-0.266366666666667,"draw",3.5,3.6,2.05
"169","win","draw",0.593066666666667,"win",2.4,3.15,3.2
"170","win","loss",-0.0837000000000001,"draw",3.1,3.3,2.35
"171","win","win",1.439,"loss",1.53,4.6,5.75
"172","win","win",1.47113333333333,"win",1.43,5.25,6.5
"173","win","win",1.91673333333333,"draw",1.45,4.8,6.5
"174","loss","loss",-0.619933333333333,"loss",5.25,4.5,1.57
"175","win","draw",0.1145,"loss",2.45,3.75,2.7
"176","win","loss",-0.2045,"win",2.9,3.3,2.5
"177","win","win",0.251733333333333,"draw",2.25,3.55,3.05
"178","loss","loss",-0.4104,"loss",3.7,3.7,1.95
"179","win","win",1.76116666666667,"win",1.15,9.5,15
"180","loss","loss",-1.01263333333333,"loss",4.6,4.1,1.7
"181","win","win",0.310833333333333,"win",2.5,3.35,2.85
"182","win","win",1.36406666666667,"win",1.65,3.85,5.25
"183","loss","loss",-0.195533333333333,"loss",2.85,3.2,2.6
"184","loss","loss",-0.716633333333333,"draw",4,4,1.8
"185","win","draw",0.1038,"loss",2.45,3.4,2.9
"186","win","win",0.831966666666667,"win",1.47,4.9,6
"187","win","win",0.961033333333333,"win",1.45,5.25,6
"188","win","draw",1.36406666666667,"win",1.7,4,4.7
"189","loss","loss",-0.7233,"loss",2.25,3.45,3.2
"190","loss","loss",-0.6624,"draw",3.4,3.6,2.1
"191","loss","loss",-0.8173,"loss",4.7,3.85,1.73
"192","win","win",0.954333333333333,"win",1.85,3.75,4
"193","win","win",2.01593333333333,"win",1.17,8.25,14
"194","draw","loss",0.156166666666667,"win",2.55,3.3,2.8
"195","draw","loss",-0.418466666666667,"win",3.45,3.5,2.1
"196","win","win",2.0015,"win",1.53,4.6,5.5
"197","win","win",0.274666666666667,"draw",2,3.55,3.75
"198","win","win",0.8061,"win",1.67,3.95,4.9
"199","win","win",0.350066666666667,"loss",1.95,3.6,3.9
"200","win","win",0.532566666666667,"loss",1.97,3.8,3.5
"201","loss","loss",-2.2419,"loss",12,6.75,1.22
"202","win","loss",0.9546,"win",2.25,3.35,3.25
"203","win","win",2.1972,"draw",1.27,6.25,10
"204","win","draw",0.230666666666667,"loss",2.85,3.55,2.4
"205","win","win",0.0698,"win",2.45,3.3,2.9
"206","win","draw",0.380433333333333,"draw",2.5,3.7,2.6
"207","win","win",1.4487,"win",1.53,4.4,6
"208","draw","loss",0.401066666666667,"draw",1.9,3.85,3.85
"209","win","win",1.11316666666667,"loss",1.53,4.2,6.25
"210","loss","loss",-1.07766666666667,"loss",8.25,5.5,1.33
"211","win","draw",0.896333333333333,"win",1.45,5.5,5.75
"212","loss","loss",0.2595,"loss",2.35,3.05,3.4
"213","loss","loss",-0.222,"win",2.95,3.3,2.45
"214","win","win",1.9769,"draw",1.27,5.75,12
"215","win","win",1.98096666666667,"loss",1.4,5.25,7.5
"216","loss","loss",-0.529933333333333,"loss",2.8,3.4,2.5
"217","loss","loss",-1.10213333333333,"win",5.25,4.8,1.53
"218","loss","win",-0.288066666666667,"loss",2.45,3.5,2.8
"219","win","loss",0.194233333333333,"win",4.2,4,1.77
"220","win","win",1.27326666666667,"win",1.43,5.25,6.5
"221","win","draw",0.710233333333334,"win",2.25,3.6,3.1
"222","win","win",-0.242166666666667,"loss",3.45,3.85,2
"223","win","loss",0.494966666666667,"loss",1.63,4.5,4.8
"224","loss","loss",-1.3205,"loss",8,6,1.33
"225","win","draw",0.683766666666667,"loss",1.9,3.65,3.9
"226","loss","loss",-0.0714,"loss",2.45,3.45,2.8
"227","win","loss",-0.200033333333333,"draw",2.35,3.9,2.75
"228","win","win",1.7986,"draw",1.27,6.75,8.75
"229","win","win",1.62216666666667,"win",1.25,6.25,11
"230","win","draw",0.737633333333333,"win",2.05,4.4,3
"231","win","draw",1.04683333333333,"win",1.4,5.25,7
"232","loss","loss",-1.28123333333333,"draw",11,6.5,1.25
"233","win","draw",0.623966666666667,"draw",2.15,3.7,3.25
"234","win","draw",0.991633333333333,"draw",1.73,3.9,4.7
"235","loss","loss",-0.0132666666666667,"loss",3.15,3.7,2.15
"236","loss","loss",-0.3398,"loss",3,3.8,2.2
"237","win","win",0.8441,"draw",2.05,3.85,3.3
"238","win","loss",0.3651,"loss",2.75,3.35,2.6
"239","win","win",1.3874,"win",1.45,4.7,6.5
"240","win","win",1.0822,"win",1.83,3.7,4.2
"241","loss","loss",-0.7476,"win",4,3.95,1.83
"242","win","win",2.4051,"win",1.07,13,28
"243","loss","loss",-0.716633333333333,"draw",4.2,3.95,1.77
"244","loss","loss",-0.6678,"loss",3.15,3.7,2.15
"245","win","win",1.1529,"win",1.37,5.5,7.5
"246","loss","loss",0.0127333333333333,"draw",1.83,3.8,4.2
"247","loss","loss",-2.48853333333333,"loss",17,9.5,1.12
"248","win","win",0.333733333333333,"draw",2.1,3.6,3.4
"249","loss","loss",0.5398,"win",2.95,3.25,2.5
"250","win","win",1.56406666666667,"win",1.37,5.25,7.75
"251","win","loss",-0.0822666666666666,"win",3.9,4.3,1.77
"252","loss","loss",0.141666666666667,"draw",3.1,3.45,2.3
"253","win","win",0.9912,"win",1.9,3.55,4.1
"254","win","win",1.57706666666667,"win",1.5,4.6,6.25
"255","draw","loss",-0.393166666666667,"win",2.65,3.6,2.55
"256","win","win",1.5593,"win",1.2,7.25,12
"257","loss","loss",-0.404966666666667,"loss",2.85,3.3,2.5
"258","draw","draw",-0.1625,"loss",2.2,3.5,3.2
"259","win","win",1.97173333333333,"win",1.22,7,12
"260","draw","draw",0.141233333333333,"loss",2.1,3.3,3.7
"261","win","win",2.29733333333333,"loss",1.17,8,14
"262","loss","loss",-1.19983333333333,"loss",5,3.8,1.7
"263","win","win",0.534833333333333,"win",2.2,3.45,3.25
"264","win","win",1.23356666666667,"loss",1.77,3.7,4.7
"265","loss","loss",0.3087,"win",2.7,3.2,2.75
"266","draw","loss",-0.210033333333333,"draw",3.85,3.8,1.9
"267","loss","loss",-0.249766666666666,"loss",2.4,3.4,2.9
"268","win","win",0.9792,"win",1.43,5.25,6.75
"269","win","win",0.9282,"draw",1.53,4.6,5.75
"270","loss","loss",-0.2375,"loss",4.5,4.6,1.63
"271","win","win",0.391766666666667,"draw",2.3,3.2,3.3
"272","win","draw",0.835466666666667,"win",1.75,3.55,5.25
"273","win","win",1.59323333333333,"win",1.17,8.5,13
"274","win","draw",-0.393533333333333,"loss",2.15,3.3,3.55
"275","win","win",2.49793333333333,"win",1.15,8.25,17
"276","loss","loss",-1.44186666666667,"loss",6,4.6,1.5
"277","loss","loss",-0.661433333333334,"win",3.65,3.65,1.97
"278","loss","loss",-0.348766666666667,"draw",3.35,3.6,2.1
"279","win","draw",-0.0637666666666667,"draw",2.5,3.4,2.85
"280","loss","loss",-0.1314,"win",3.1,3.45,2.3
