"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"1","loss","loss",-0.362766666666667,"draw",4.2,4.4,1.7
"2","win","win",1.79946666666667,"win",1.85,3.9,3.9
"3","draw","loss",-0.195666666666667,"draw",2.75,3.35,2.55
"4","win","win",0.990066666666667,"win",1.57,4.4,5.5
"5","loss","loss",-0.686333333333333,"draw",2.95,3.25,2.5
"6","loss","loss",-0.651466666666667,"loss",3.1,3.7,2.2
"7","draw","win",1.16906666666667,"win",1.43,5.25,6.25
"8","loss","loss",-0.645633333333333,"win",8.25,5.5,1.35
"9","win","loss",1.0065,"win",2.55,3.3,2.8
"10","win","win",1.25583333333333,"win",1.8,3.8,4.3
"11","win","win",2.08123333333333,"win",1.43,4.6,7.5
"12","win","draw",1.1847,"loss",2,3.55,3.75
"13","win","win",1.1575,"win",1.5,4.8,5.75
"14","draw","loss",-0.304833333333334,"loss",8.25,5.5,1.33
"15","loss","loss",-0.398233333333333,"loss",3.65,3.3,2.1
"16","loss","loss",-0.582066666666667,"draw",3.9,3.9,1.85
"17","draw","draw",0.203533333333333,"win",2.85,3.25,2.55
"18","win","win",1.7395,"win",1.4,5.25,7.25
"19","loss","loss",-0.0220666666666667,"draw",2.6,3.5,2.6
"20","loss","loss",-0.529633333333333,"win",3.55,3.8,1.97
"21","win","win",1.25703333333333,"loss",1.9,3.75,4
"22","win","win",2.21453333333333,"win",1.2,7.75,13
"23","win","win",0.5078,"win",1.53,4.3,6
"24","win","loss",0.102266666666667,"win",1.97,3.85,3.5
"25","loss","loss",-0.640166666666667,"draw",3.45,3.55,2.1
"26","win","loss",0.211033333333333,"draw",2.1,3.55,3.35
"27","loss","loss",-0.584966666666667,"loss",3.65,3.75,1.95
"28","loss","loss",-1.9076,"win",11,6.5,1.25
"29","loss","loss",-0.4643,"win",4.1,3.9,1.83
"30","win","win",1.23446666666667,"win",1.37,5.5,7.5
"31","win","win",2.1735,"win",1.4,4.8,7.5
"32","loss","loss",-0.684666666666667,"draw",4,3.4,1.97
"33","win","win",2.14703333333333,"win",1.33,5.5,9.5
"34","win","loss",1.17613333333333,"win",2.1,3.25,3.8
"35","win","loss",0.4305,"loss",2,3.55,3.65
"36","win","draw",0.3391,"draw",2.2,3.35,3.4
"37","loss","draw",-0.251,"win",2.95,3.2,2.5
"38","loss","draw",0.483066666666667,"draw",2.15,3.25,3.65
"39","loss","loss",-0.624833333333333,"loss",2.9,3.45,2.4
"40","loss","loss",-0.597533333333333,"win",3.2,3.3,2.3
"41","draw","loss",0.1184,"win",2.8,3.65,2.4
"42","loss","loss",-1.2408,"loss",4.8,4.4,1.63
"43","win","win",2.3608,"win",1.12,9.5,20
"44","win","win",0.7149,"win",2.35,3.45,3
"45","win","loss",0.658833333333333,"loss",1.83,4.1,3.9
"46","draw","loss",-0.133566666666667,"win",3.3,3.4,2.2
"47","win","win",2.55883333333333,"win",1.25,7,11
"48","win","loss",-0.291333333333333,"draw",3.35,3.45,2.15
"49","loss","loss",0.334566666666667,"win",1.9,3.95,3.75
"50","win","win",0.5883,"loss",2.35,3.3,3.1
"51","draw","loss",0.568833333333333,"win",2.55,3.2,2.9
"52","loss","loss",-0.4805,"loss",3.7,3.95,1.9
"53","win","draw",0.8672,"draw",2.25,3.3,3.25
"54","win","win",0.253866666666667,"loss",1.85,3.8,4
"55","win","draw",1.18626666666667,"loss",1.75,3.85,4.6
"56","win","win",0.387633333333333,"win",2.05,3.3,3.8
"57","win","win",2.00166666666667,"win",1.25,7,11
"58","win","loss",0.298733333333333,"loss",2.4,3.55,2.8
"59","win","draw",0.7459,"win",1.73,4.2,4.2
"60","loss","loss",-0.630566666666666,"draw",5.75,4.8,1.5
"61","win","win",0.470966666666667,"loss",1.83,3.65,4.2
"62","loss","loss",-0.883366666666667,"win",4.7,4.1,1.67
"63","draw","loss",-0.4595,"win",3.2,3.7,2.15
"64","loss","loss",-1.21726666666667,"loss",8.25,5.75,1.33
